dsp5_nse0.05_epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
dsp5_nse0.05_accuracy,0.9305,0.9285,0.928,0.932,0.933,0.9335,0.934,0.932,0.929,0.931,0.926,0.9335,0.9335,0.937,0.9355,0.9305,0.9385,0.932,0.936,0.934,0.935,0.936,0.931,0.93,0.9325,0.933,0.9365,0.9355,0.934,0.932,0.9385
dsp5_nse0.05_AP,0.9761872745377469,0.9746653121439648,0.9757813307279344,0.9741603453378179,0.9756383049508628,0.9741637734506112,0.9745588033568477,0.974471978112593,0.9710187501328518,0.9714897135933148,0.9720902014124926,0.9763456996356608,0.9742516481189885,0.9754009525430376,0.973154271441403,0.9726931572497385,0.9717821524875883,0.9710049401041599,0.9734388682441114,0.9731962361432203,0.9751996352911803,0.9746274766723035,0.9694263609948794,0.9732866470528825,0.9737745820849042,0.9746037305526034,0.9724205767856244,0.973524365694637,0.97391680097163,0.9724974805871536,0.9738109430203761
dsp5_nse0.05_eval,0.07873678691218138,0.08037547679377621,0.07768934208254052,0.07887236234815174,0.07713686974222753,0.07699873290196223,0.07734707055598948,0.07757961768643674,0.07804637185161516,0.07891937378070557,0.08060621668629096,0.07742641591064,0.07794107497289933,0.07620508214964444,0.07615448598983164,0.07830069454976925,0.07564912404595024,0.07644469062464868,0.07564110180773474,0.07567669275229173,0.07582826240383587,0.07598083390230863,0.07820197650731492,0.07818577496737174,0.07746476102489515,0.0763990137413798,0.07607550544156144,0.07656709694391373,0.07661091234843696,0.07865838923455115,0.07430946422782199
